ARTICLE_ID,CLAUSE_ID
A0001,C0001
A0002,C0002
A0003,C0003
A0003,C0004
A0003,C0005
A0004,C0006
A0004,C0007
A0004,C0008
A0004,C0009
A0004,C0010
A0004,C0011
A0004,C0012
A0004,C0013
A0004,C0014
A0004,C0015
A0004,C0016
A0004,C0017
A0004,C0018
A0004,C0019
A0004,C0020
A0004,C0021
A0004,C0022
A0004,C0023
A0004,C0024
A0004,C0025
A0004,C0026
A0004,C0027
A0004,C0028
A0004,C0029
A0004,C0030
A0005,C0031
A0005,C0032
A0005,C0033
A0006,C0034
A0006,C0035
A0006,C0036
A0006,C0037
A0007,C0038
A0007,C0039
A0007,C0040
A0008,C0041
A0008,C0042
A0008,C0043
A0008,C0044
A0009,C0045
A0010,C0046
A0010,C0047
A0010,C0048
A0010,C0049
A0010,C0050
A0010,C0051
A0010,C0052
A0010,C0053
A0010,C0054
A0011,C0055
A0011,C0056
A0011,C0057
A0011,C0058
A0011,C0059
A0012,C0060
A0013,C0061
A0013,C0062
A0014,C0063
A0014,C0064
A0014,C0065
A0014,C0066
A0015,C0067
A0015,C0068
A0015,C0069
A0016,C0070
A0016,C0071
A0016,C0072
A0016,C0073
A0017,C0074
A0017,C0075
A0017,C0076
A0017,C0077
A0018,C0078
A0019,C0079
A0019,C0080
A0019,C0081
A0019,C0082
A0020,C0083
A0020,C0084
A0020,C0085
A0021,C0086
A0021,C0087
A0021,C0088
A0022,C0089
A0022,C0090
A0023,C0091
A0023,C0092
A0024,C0093
A0025,C0094
A0025,C0095
A0025,C0096
A0026,C0097
A0026,C0098
A0026,C0099
A0027,C0100
A0027,C0101
A0028,C0102
A0028,C0103
A0028,C0104
A0028,C0105
A0028,C0106
A0028,C0107
A0028,C0108
A0028,C0109
A0028,C0110
A0028,C0111
A0028,C0112
A0028,C0113
A0028,C0114
A0028,C0115
A0028,C0116
A0028,C0117
A0029,C0118
A0029,C0119
A0029,C0120
A0029,C0121
A0030,C0122
A0030,C0123
A0031,C0124
A0031,C0125
A0032,C0126
A0032,C0127
A0033,C0128
A0033,C0129
A0034,C0130
A0034,C0131
A0034,C0132
A0034,C0133
A0035,C0134
A0035,C0135
A0035,C0136
A0035,C0137
A0035,C0138
A0035,C0139
A0035,C0140
A0035,C0141
A0035,C0142
A0035,C0143
A0036,C0144
A0037,C0145
A0038,C0146
A0038,C0147
A0039,C0148
A0039,C0149
A0040,C0150
A0041,C0151
A0042,C0152
A0042,C0153
A0043,C0154
A0043,C0155
A0043,C0156
A0044,C0157
A0044,C0158
A0044,C0159
A0045,C0160
A0045,C0161
A0045,C0162
A0046,C0163
A0046,C0164
A0047,C0165
A0047,C0166
A0047,C0167
A0047,C0168
A0048,C0169
A0048,C0170
A0049,C0171
A0049,C0172
A0049,C0173
A0050,C0174
A0050,C0175
A0050,C0176
A0051,C0177
A0051,C0178
A0051,C0179
A0051,C0180
A0052,C0181
A0053,C0182
A0053,C0183
A0054,C0184
A0054,C0185
A0055,C0186
A0055,C0187
A0055,C0188
A0056,C0189
A0056,C0190
