ARTICLE_ID,NUMBER,TITLE_VN,TITLE_EN,TITLE_JP,INTRODUCTORY STATEMENT_VN,INTRODUCTORY STATEMENT_EN,INTRODUCTORY STATEMENT_JP
A0001,1,Phạm vi điều chỉnh,Scope of Regulation,調整範囲,NULL,NULL,NULL
A0002,2,Đối tượng áp dụng,Applicable Entities,適用対象,NULL,NULL,NULL
A0003,3,Đối tượng quyền sở hữu trí tuệ,Objects of Intellectual Property Rights,知的財産権の対象,NULL,NULL,NULL
A0004,4,Giải thích từ ngữ,Interpretation of Terms,用語の解釈,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau:","In this Law, the following terms are construed as follows:",この法律において、次の用語は、それぞれ次のように解釈される。
A0005,5,Áp dụng pháp luật,Application of Law,法の適用,NULL,NULL,NULL
A0006,6,"Căn cứ phát sinh, xác lập quyền sở hữu trí tuệ",Basis for Arising and Establishing Intellectual Property Rights,知的財産権の発生および確立の根拠,NULL,NULL,NULL
A0007,7,Giới hạn quyền sở hữu trí tuệ,Limitations of Intellectual Property Rights,知的財産権の制限,NULL,NULL,NULL
A0008,8,Chính sách của Nhà nước về sở hữu trí tuệ,State Policies on Intellectual Property,知的財産に関する国家の政策,NULL,NULL,NULL
A0009,9,"Quyền và trách nhiệm của tổ chức, cá nhân trong việc bảo vệ quyền sở hữu trí tuệ",Rights and Responsibilities of Organizations and Individuals in Protecting Intellectual Property Rights,知的財産権を保護するための組織・個人の権利と責任,NULL,NULL,NULL
A0010,10,Nội dung quản lý nhà nước về sở hữu trí tuệ,Content of State Management on Intellectual Property,知的財産に関する国家管理の内容,NULL,NULL,NULL
A0011,11,Trách nhiệm quản lý nhà nước về sở hữu trí tuệ,Responsibilities for State Management on Intellectual Property,知的財産に関する国家管理の責任,NULL,NULL,NULL
A0012,12,"Phí, lệ phí về sở hữu trí tuệ",Fees and Charges Related to Intellectual Property,知的財産に関する手数料・料金,NULL,NULL,NULL
A0013,13,"Tác giả, chủ sở hữu quyền tác giả có tác phẩm được bảo hộ quyền tác giả",Authors and Owners of Copyrighted Works Protected by Copyright Law,著作権で保護される著作者および著作権者,NULL,NULL,NULL
A0014,14,Các loại hình tác phẩm được bảo hộ quyền tác giả,Types of Works Protected by Copyright Law,著作権で保護される作品の種類,NULL,NULL,NULL
A0015,15,Các đối tượng không thuộc phạm vi bảo hộ quyền tác giả,Objects Not Protected by Copyright Law,著作権の保護対象外の対象物,NULL,NULL,NULL
A0016,16,"Tổ chức, cá nhân được bảo hộ quyền liên quan",Organizations and Individuals Protected by Related Rights,関連権で保護される組織・個人,NULL,NULL,NULL
A0017,17,Các đối tượng quyền liên quan được bảo hộ,Objects of Related Rights Protected,関連権の保護対象,NULL,NULL,NULL
A0018,18,Quyền tác giả,Copyright,著作権,NULL,NULL,NULL
A0019,19,Quyền nhân thân,Moral Rights,人格権,Quyền nhân thân bao gồm các quyền sau đây:,Personal rights include the following rights:,個人の権利には以下の権利が含まれます。
A0020,20,Quyền tài sản,Economic Rights,財産権,NULL,NULL,NULL
A0021,21,"Quyền tác giả đối với tác phẩm điện ảnh, tác phẩm sân khấu",Copyright on Cinematographic and Theatrical Works,映画作品、舞台作品に対する著作権,NULL,NULL,NULL
A0022,22,"Quyền tác giả đối với chương trình máy tính, sưu tập dữ liệu",Copyright on Computer Programs and Data Collections,コンピュータープログラム、データコレクションに対する著作権,NULL,NULL,NULL
A0023,23,"Quyền tác giả đối với tác phẩm văn học, nghệ thuật dân gian",Copyright on Folklore Literary and Artistic Works,民間伝承の文学・芸術作品に対する著作権,NULL,NULL,NULL
