CLAUSE_ID,NUMBER,TEXT_VN,TEXT_EN,TEXT_JP
C0001,0,"Luật này quy định về quyền tác giả, quyền liên quan đến quyền tác giả, quyền sở hữu công nghiệp, quyền đối với giống cây trồng và việc bảo hộ các quyền đó.
","This Law regulates copyright, rights related to copyright, industrial property rights, rights to plant varieties and the protection of such rights.",この法律は、著作権、著作権に関連する権利、工業所有権、植物品種に関する権利及びこれらの権利の保護について規定する。
C0002,0,"Luật này áp dụng đối với tổ chức, cá nhân Việt Nam; tổ chức, cá nhân nước ngoài đáp ứng các điều kiện quy định tại Luật này và điều ước quốc tế mà Cộng hoà xã hội chủ nghĩa Việt Nam là thành viên.",This Law applies to Vietnamese organizations and individuals; foreign organizations and individuals that satisfy the conditions prescribed in this Law and international treaties to which the Socialist Republic of Vietnam is a member.,この法律は、ベトナムの組織および個人、ならびにこの法律およびベトナム社会主義共和国が加盟している国際条約に規定された条件を満たす外国の組織および個人に適用されます。
C0003,1,"Đối tượng quyền tác giả bao gồm tác phẩm văn học, nghệ thuật, khoa học; đối tượng quyền liên quan đến quyền tác giả bao gồm cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng, tín hiệu vệ tinh mang chương trình được mã hoá.","Subjects of copyright include literary, artistic and scientific works; subjects of rights related to copyright include performances, sound recordings, video recordings, broadcast programs, and satellite signals carrying encrypted programs.",著作権の対象には、文学的、芸術的、科学的著作物が含まれ、著作権に関連する権利の対象には、実演、録音物、録画物、放送番組、暗号化された番組を運ぶ衛星信号などが含まれます。
C0004,2,"Đối tượng quyền sở hữu công nghiệp bao gồm sáng chế, kiểu dáng công nghiệp, thiết kế bố trí mạch tích hợp bán dẫn, bí mật kinh doanh, nhãn hiệu, tên thương mại và chỉ dẫn địa lý.","Objects of industrial property rights include inventions, industrial designs, semiconductor integrated circuit layout designs, trade secrets, trademarks, trade names and geographical indications.",産業財産権の対象には、発明、意匠、半導体集積回路の回路配置設計、営業秘密、商標、商号、地理的表示などが含まれます。
C0005,3,Đối tượng quyền đối với giống cây trồng là giống cây trồng và vật liệu nhân giống.,The subjects of rights to plant varieties are plant varieties and breeding materials.,植物品種権の対象は、植物品種及び育種素材です。
C0006,1,"Quyền sở hữu trí tuệ là quyền của tổ chức, cá nhân đối với tài sản trí tuệ, bao gồm quyền tác giả và quyền liên quan đến quyền tác giả, quyền sở hữu công nghiệp và quyền đối với giống cây trồng.","Intellectual property rights are the rights of organizations and individuals to intellectual property, including copyright and rights related to copyright, industrial property rights and rights to plant varieties.",知的財産権とは、著作権および著作権に関連する権利、工業所有権、植物品種に対する権利などを含む知的財産に対する組織および個人の権利のことです。
C0007,2,"Quyền tác giả là quyền của tổ chức, cá nhân đối với tác phẩm do mình sáng tạo ra hoặc sở hữu.",Copyright is the right of an organization or individual to a work they create or own.,著作権とは、組織または個人が作成または所有する著作物に対する権利です。
C0008,3,"Quyền liên quan đến quyền tác giả (sau đây gọi là quyền liên quan) là quyền của tổ chức, cá nhân đối với cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng, tín hiệu vệ tinh mang chương trình được mã hóa.","Rights related to copyright (hereinafter referred to as related rights) are the rights of organizations and individuals to performances, sound recordings, video recordings, broadcast programs, and encrypted satellite signals carrying programs.",著作権に関する権利（以下、「著作隣接権」といいます。）とは、実演、録音物、録画物、放送番組及び番組を運ぶ暗号化衛星信号等に対する団体及び個人の権利をいいます。
C0009,4,"Quyền sở hữu công nghiệp là quyền của tổ chức, cá nhân đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí mạch tích hợp bán dẫn, nhãn hiệu, tên thương mại, chỉ dẫn địa lý, bí mật kinh doanh do mình sáng tạo ra hoặc sở hữu và quyền chống cạnh tranh không lành mạnh.","Industrial property rights are the rights of organizations and individuals to inventions, industrial designs, semiconductor integrated circuit layout designs, trademarks, trade names, geographical indications, and business secrets that they create or own, and the right to combat unfair competition.",産業財産権とは、組織や個人が創作または所有する発明、意匠、半導体集積回路の回路配置設計、商標、商号、地理的表示、営業秘密に対する権利、および不正競争に対抗する権利のことです。
C0010,5,"Quyền đối với giống cây trồng là quyền của tổ chức, cá nhân đối với giống cây trồng mới do mình chọn tạo hoặc phát hiện và phát triển hoặc được hưởng quyền sở hữu.",Plant variety rights are the rights of organizations and individuals to new plant varieties that they have chosen to create or discovered and developed or to which they have ownership rights.,植物品種権とは、組織や個人が自ら創造または発見・開発した、あるいは所有権を有する新しい植物品種に対する組織や個人の権利です。
C0011,6,"Chủ thể quyền sở hữu trí tuệ là chủ sở hữu quyền sở hữu trí tuệ hoặc tổ chức, cá nhân được chủ sở hữu chuyển giao quyền sở hữu trí tuệ.",The subject of intellectual property rights is the owner of intellectual property rights or the organization or individual to whom the owner transfers intellectual property rights.,知的財産権の主体とは、知的財産権の所有者、または所有者から知的財産権を譲渡された組織もしくは個人を指します。
C0012,7,"Tác phẩm là sản phẩm sáng tạo trong lĩnh vực văn học, nghệ thuật và khoa học thể hiện bằng bất kỳ phư­ơng tiện hay hình thức nào.","A work is a creative product in the literary, artistic and scientific fields expressed by any means or form.",著作物とは、あらゆる手段や形式で表現された文学、芸術、科学の分野における創造的な成果物です。
C0013,8,"Tác phẩm phái sinh là tác phẩm dịch từ ngôn ngữ này sang ngôn ngữ khác, tác phẩm phóng tác, cải biên, chuyển thể, biên soạn, chú giải, tuyển chọn.","Derivative works are works translated from one language to another, adapted, transformed, compiled, annotated, or selected.",派生的著作物とは、ある言語から別の言語に翻訳、翻案、変形、編集、注釈、または選択された著作物です。
C0014,9,"Tác phẩm, bản ghi âm, ghi hình đã công bố là tác phẩm, bản ghi âm, ghi hình đã được phát hành với sự đồng ý của chủ sở hữu quyền tác giả, chủ sở hữu quyền liên quan để phổ biến đến công chúng với một số lượng bản sao hợp lý.","A published work, sound recording or video recording is a work, sound recording or video recording that has been released with the consent of the copyright owner or related rights owner for dissemination to the public in a reasonable number of copies.",公表された著作物、録音物またはビデオ録画物とは、著作権者または関連する権利者の同意を得て、相当数の複製物を公衆に頒布するために発表された著作物、録音物またはビデオ録画物です。
C0015,10,"Sao chép là việc tạo ra một hoặc nhiều bản sao của tác phẩm hoặc bản ghi âm, ghi hình bằng bất kỳ phương tiện hay hình thức nào, bao gồm cả việc lưu trữ thường xuyên hoặc tạm thời tác phẩm dưới hình thức điện tử.","Reproduction is the making of one or more copies of a work or sound or video recording by any means or form, including permanent or temporary storage of the work in electronic form.",複製とは、電子形式での作品の永久的または一時的な保存を含め、あらゆる手段や形式で作品または音声またはビデオ録画の 1 つ以上のコピーを作成することです。
C0016,11,"Phát sóng là việc truyền âm thanh hoặc hình ảnh hoặc cả âm thanh và hình ảnh của tác phẩm, cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng đến công chúng bằng phương tiện vô tuyến hoặc hữu tuyến, bao gồm cả việc truyền qua vệ tinh để công chúng có thể tiếp nhận được tại địa điểm và thời gian do chính họ lựa chọn.","Broadcasting is the transmission of sound or images or both sound and images of a work, performance, phonogram, video recording, or broadcast program to the public by wire or wireless means, including transmission via satellite, so that the public can receive it at a place and time of their own choosing.",放送とは、著作物、上演、レコード、ビデオ録画、または放送番組の音声または映像、あるいは音声と映像の両方を、有線または無線（衛星経由の送信を含む）によって公衆に送信し、公衆が自ら選択した場所と時間に受信できるようにすることです。
C0017,12,Sáng chế là giải pháp kỹ thuật dưới dạng sản phẩm hoặc quy trình nhằm giải quyết một vấn đề xác định bằng việc ứng dụng các quy luật tự nhiên.,An invention is a technical solution in the form of a product or process to solve a specific problem by applying the laws of nature.,発明とは、自然の法則を応用して特定の問題を解決するための製品またはプロセスの形で提供される技術的解決策です。
